Year,Temperature
1861.0,8.336363636363636
1862.0,7.716666666666666
1863.0,7.758333333333334
1864.0,6.866666666666667
1865.0,7.2250000000000005
1866.0,7.416666666666668
1867.0,6.550000000000002
1868.0,7.9750000000000005
1869.0,6.449999999999999
1870.0,6.574999999999999
1871.0,7.645454545454546
1872.0,8.274999999999999
1873.0,7.833333333333333
1874.0,7.175000000000001
1875.0,7.016666666666667
1876.0,6.783333333333331
1877.0,6.550000000000001
1878.0,7.066666666666666
1879.0,6.691666666666666
1880.0,7.533333333333332
1881.0,6.366666666666668
1882.0,7.900000000000001
1883.0,7.6000000000000005
1884.0,8.208333333333334
1885.0,6.708333333333335
1886.0,6.833333333333332
1887.0,6.991666666666667
1888.0,6.550000000000001
1889.0,7.925000000000001
1890.0,7.783333333333332
1891.0,7.733333333333333
1892.0,6.266666666666666
1893.0,7.491666666666666
1894.0,8.333333333333334
1895.0,6.758333333333334
1896.0,7.408333333333334
1897.0,7.25
1898.0,7.150000000000001
1899.0,6.966666666666668
1900.0,6.708333333333333
1901.0,7.674999999999998
1902.0,6.408333333333332
1903.0,7.183333333333333
1904.0,6.891666666666667
1905.0,7.083333333333335
1906.0,7.383333333333334
1907.0,6.95
1908.0,7.574999999999999
1909.0,6.533333333333332
1910.0,7.791666666666667
1911.0,7.566666666666667
1912.0,7.591666666666668
1913.0,7.816666666666667
1914.0,7.933333333333331
1915.0,5.958333333333332
1916.0,7.099999999999999
1917.0,6.608333333333334
1918.0,7.5
1919.0,6.125000000000001
1920.0,7.683333333333333
1921.0,7.2
1922.0,6.425000000000001
1923.0,6.466666666666668
1924.0,7.283333333333334
1925.0,7.858333333333333
1926.0,7.733333333333332
1927.0,7.191666666666666
1928.0,7.141666666666667
1929.0,7.041666666666667
1930.0,8.508333333333335
1931.0,6.708333333333333
1932.0,7.583333333333336
1933.0,8.258333333333335
1934.0,8.558333333333334
1935.0,7.691666666666667
1936.0,8.274999999999999
1937.0,7.983333333333334
1938.0,8.308333333333334
1939.0,8.233333333333334
1940.0,7.108333333333333
1941.0,6.974999999999999
1942.0,6.4750000000000005
1943.0,8.200000000000001
1944.0,7.758333333333334
1945.0,8.274999999999999
1946.0,7.933333333333334
1947.0,7.941666666666666
1948.0,8.158333333333333
1949.0,8.124999999999998
1950.0,8.274999999999999
1951.0,7.6000000000000005
1952.0,7.125
1953.0,8.625000000000002
1954.0,7.708333333333333
1955.0,7.299999999999998
1956.0,7.225000000000001
1957.0,7.933333333333334
1958.0,7.3999999999999995
1959.0,8.566666666666666
1960.0,8.183333333333335
1961.0,8.258333333333335
1962.0,7.016666666666667
1963.0,7.233333333333332
1964.0,7.525000000000001
1965.0,7.25
1966.0,6.908333333333332
1967.0,7.724999999999999
1968.0,7.483333333333334
1969.0,7.3999999999999995
1970.0,7.091666666666666
1971.0,7.774999999999999
1972.0,7.833333333333335
1973.0,7.391666666666667
1974.0,8.591666666666667
1975.0,8.208333333333334
1976.0,7.5
1977.0,7.466666666666668
1978.0,7.366666666666667
1979.0,6.408333333333335
1980.0,7.675
1981.0,6.900000000000001
1982.0,8.1
1983.0,7.783333333333332
1984.0,7.958333333333335
1985.0,6.8
1986.0,7.108333333333333
1987.0,7.233333333333334
1988.0,8.225
1989.0,8.475
1990.0,8.916666666666666
1991.0,8.158333333333333
1992.0,8.533333333333335
1993.0,7.566666666666666
1994.0,7.675
1995.0,7.750000000000001
1996.0,7.166666666666667
1997.0,8.591666666666667
1998.0,7.9750000000000005
1999.0,8.575
2000.0,8.816666666666668
2001.0,7.683333333333333
2002.0,8.716666666666667
2003.0,8.733333333333334
2004.0,8.55
2005.0,8.4
2006.0,9.316666666666666
2007.0,8.4
2008.0,8.875000000000002
2009.0,8.6
2010.0,6.366666666666667
2011.0,8.783333333333331
2012.0,7.833333333333333
2013.0,7.966666666666666
2014.0,9.908333333333333
2015.0,8.733333333333333
2016.0,8.6
2017.0,8.625
2018.0,8.691666666666668
2019.0,8.833333333333332
2020.0,9.433333333333335
